direccion,placa,vigente
CALLE MUÑOZ SECA 21,2088,True
CALLE DOCTOR BELTRAN MATEOS 8,10356,True
CALLE CAMINO DE LA VIRGEN 19,7405,True
CALLE IMPERIAL 28,8015,True
CALLE CRISTOBAL LOZANO 16,2020,True
CALLE PEREZ GALDOS 29,7361,True
AVDA ARTE (EL) 15,8565,False
CALLE ARADO 34,8732,True
CALLE MIGUEL SERVET 54,3894,False
CALLE MUÑOZ SECA 20,8373,True
CALLE FRANCISCO JAVIER DE MOYA 0,4494,True
AVDA ESPAÑA 33,7053,True
CALLE EJERCITO 0,4974,True
AVDA OLIMPIA  6,9621,True
CALLE HERMANA MARIA (DE LA) 11,9462,True
AVDA DOCTOR JOSE MARIA SANCHEZ IBAÑEZ 45,9624,True
AVDA ESPAÑA 31,4476,True
CALLE PONTEVEDRA 23,3924,True
AVDA ESPAÑA 29,,True
CALLE JOAQUIN QUIJADA 35,5141,True
CALLE ARADO 32,9936,False
CALLE DOCTOR FERRAN 51,5721,True
CALLE CRISTOBAL LOZANO 26,1321,True
AVDA TOREROS (LOS) 51,9121,True
CALLE AGUILA 39,8636,True
CALLE AGUILA 39,8798,True
CALLE JOSE ECHEGARAY 37,8227,True
CALLE AGUILA 37,8629,False
PASEO CIRCUNVALACION (DE) 20,8662,True
CALLE CORDOBA 9,1604,False
CALLE CORDOBA 0,5646,False
CALLE AGUILA 18,7985,True
CALLE AGUILA 25,4736,False
CALLE AGUILA 20,8197,False
CALLE BAILEN 35,5805,False
CALLE AGUILA 22,5038,False
CALLE BAILEN 37,8400,False
CALLE BAILEN 27,1133,False
CALLE BAILEN 28,6418,False
CALLE BAILEN 29,6768,True
CALLE BAILEN 27,5297,False
CALLE AGUILA 13,8162,False
CALLE BAILEN 23,5249,False
CALLE MIGUEL SERVET 40,7702,True
CALLE DOCTOR FERRAN 123,10706,True
CALLE CORDOBA 39,1172,False
CALLE ALMERIA 20,5532,False
CALLE JOSE ECHEGARAY 34,4713,False
CALLE ALBASIT 0,9817,False
CALLE CORDOBA 46,9818,True
CALLE JOSE ECHEGARAY 40,4261,False
CALLE AGUSTINA DE ARAGON 12,2018,False
CALLE CORDOBA 15,5648,False
CALLE CORDOBA 0,6022,False
CALLE ARADO 10,8541,True
CALLE AGUILA 17,5627,False
CALLE ALMERIA 30,6783,True
CALLE TEJARES 69,6697,True
CALLE GERONA 34,7488,True
AVDA TOREROS (LOS) 8,202,True
CALLE MANUEL DE FALLA 0,6588,False
CALLE PARAGUAY 8,1713,False
AVDA TOREROS (LOS) 32,5417,True
PSAJE QUITO 7,6925,False
CALLE SAN LUIS 0,1844,True
CALLE FRANCISCO PIZARRO 32,7442,True
CALLE ROSARIO 94,4461,True
CALLE RODA (LA) 49,8195,True
CALLE ANGEL 18,7871,True
AVDA CRONISTA MATEOS Y SOTOS 2 A,5893,True
CALLE BADAJOZ 5,1465,False
CALLE ORENSE 3,6431,True
CALLE ORENSE 3,4679,True
CALLE ORENSE 7,912,True
AVDA TOREROS (LOS) 16,263,True
AVDA TOREROS (LOS) 20,9022,True
CALLE BILBAO 14,1582,False
CALLE FERIA 60,8896,True
CALLE FERIA 60,7343,True
PSAJE QUITO 1,9282,False
CALLE MAESTRO VARELA 13,10716,True
CALLE MAESTRO VARELA 17,295,True
CALLE MAESTRO VARELA 17,5987,False
CALLE OCTAVIO CUARTERO 4,6774,True
CALLE CACERES 27,6421,False
CALLE AGUSTINA DE ARAGON 64,9471,False
CALLE FRANCISCANOS 0,2755,True
CALLE ANTONIO MACHADO 41,4055,True
CALLE FRANCISCANOS 10,3005,True
CALLE ORENSE 22,5322,False
CALLE BERNABE CANTOS 26,378,True
CALLE JOAQUIN SANCHEZ JIMENEZ 8,,True
PLAZA JESUS DE MEDINACELI 0,4771,True
CALLE ARQUITECTO VANDELVIRA 20,5047,True
CALLE SAN CRISTOBAL 1,5625,False
CALLE POZO 2,4229,True
CALLE FILIPINAS 18,8790,False
CALLE FRANCISCO PIZARRO 47,1668,True
CALLE MELCHOR DE MACANAZ 17,7051,True
CALLE PONIENTE 8,9900,False
CALLE PONTEVEDRA 12,8363,True
CALLE PONTEVEDRA 12,4214,True
CALLE ALEGRIA 10,2460,True
CALLE CONCEJAL CASTILLO 5,1106,True
CALLE QUEVEDO 6,7582,True
CALLE QUEVEDO 17,10784,True
CALLE CRUZ AL NORTE 17,6009,True
CALLE ROA EROSTARBE 7,1905,True
CALLE PEREZ GALDOS 48,1013,True
CALLE MAYOS (LOS) (SANTA ANA) 11,,False
CALLE JUAN SEBASTIAN ELCANO 11,648,True
CALLE CALATRAVA 21,7150,True
AVDA RAMON Y CAJAL 38,6101,True
CALLE PUERTA DE MURCIA 18,9909,True
CALLE LEON 11,3848,True
CALLE REFRANES (LOS) 17,8733,True
CALLE CAMINO DE LA VIRGEN 47,5270,False
CALLE DOCTOR FLEMING 8,2151,True
CALLE FERIA 91,7373,True
CALLE BELEN 0,8897,True
CALLE FERIA 93,6683,True
CALLE FERIA 93,6129,True
CALLE FERIA 93,6682,True
CALLE LUIS VIVES 12,8142,False
CALLE PADRE PASCUAL SUAREZ 12,9761,True
CALLE FRANCISCO PIZARRO 46,2792,True
